timestamp,user_id,segment_id,text,x,y,fixation_duration,regression_count,pupil_diameter,gaze_duration
16795,user_001,1,Artificial intelligence is reshaping industries.,860,1044,281.26773002213315,0,3.129758912915246,281.26773002213315
45131,user_001,2,Machine learning allows systems to learn from data.,871,130,262.4420491252038,0,3.3627680130757898,262.4420491252038
84104,user_001,3,Climate change poses global environmental threats.,459,21,104.87153479551814,0,3.3810323675114398,104.87153479551814
3747,user_001,4,Blockchain introduces decentralized record-keeping.,975,189,317.76631212517947,0,2.969607049417077,317.76631212517947
67803,user_001,5,Remote work is redefining modern office culture.,831,646,251.97969199152706,0,3.484231946313992,251.97969199152706
24483,user_001,6,Quantum computing could solve complex problems faster.,1478,508,270.5463246925167,0,3.3126693901522084,270.5463246925167
68121,user_001,7,Mental health awareness is increasing worldwide.,1895,1025,189.7648556942014,0,3.09406500439788,189.7648556942014
10692,user_001,8,Augmented reality is enhancing digital experiences.,702,401,317.491065284309,1,3.4645283116845835,417.491065284309
92387,user_001,9,Biotech is advancing personalized medicine.,1016,295,337.85545995680184,0,3.3977571795286954,337.85545995680184
87807,user_001,10,Renewable energy adoption is accelerating.,216,763,179.2034174226713,0,3.416450738707594,179.2034174226713
62228,user_001,11,Cybersecurity is critical in the digital age.,64,520,245.8462399755233,0,3.3835028866522605,245.8462399755233
6258,user_001,12,Space exploration is entering a new golden age.,1522,592,374.44675206168813,0,3.4033302229020026,374.44675206168813
4561,user_001,13,Education technology is transforming learning.,230,1017,179.3477368362014,0,3.529894092735446,179.3477368362014
36222,user_001,14,Digital privacy concerns are rising.,1597,804,365.00206579153587,1,3.606872008571247,465.00206579153587
9110,user_001,15,Food tech is solving sustainability challenges.,1485,642,328.9116484406731,1,3.6614109699397908,428.9116484406731
1206,user_001,16,Social media impacts communication and society.,1038,891,186.49996331268778,0,3.5127474852018263,186.49996331268778
19141,user_001,17,Autonomous vehicles use sensors and AI to drive.,484,230,418.2315235793213,0,3.044518934517906,418.2315235793213
63623,user_001,18,Genetic editing opens doors for treatment innovation.,1862,577,182.6425691856379,0,3.4677888414518487,182.6425691856379
96003,user_001,19,Robotics is automating labor-intensive tasks.,1051,189,279.46958538459563,0,3.089652282760172,279.46958538459563
93787,user_001,20,5G networks enable faster data transfer and IoT.,972,709,87.58591619492239,0,3.30365538316663,87.58591619492239
